;zip_code;water_hardness_dH
617;93096;18.0
618;93098;18.0
619;93105;17.0
620;93107;18.666666666666668
621;93109;16.25
622;93128;20.0
623;93133;20.0
624;93138;19.571428571428573
625;93142;20.0
626;93149;7.0
627;93152;19.0
628;93155;20.0
629;93158;20.0
630;93161;14.0
631;93164;19.833333333333332
632;93170;16.0
633;93173;16.0
634;93177;16.0
635;93179;10.0
636;93180;18.0
637;93197;20.0
638;93309;17.4
639;93326;18.0
640;93333;17.714285714285715
641;93336;19.0
642;93339;19.857142857142858
643;93343;17.5
644;93346;17.0
645;93349;20.0
646;93352;18.0
647;93354;18.0
648;93359;16.0
649;94032;12.0
650;94034;12.0
651;94081;12.0
652;94094;19.0
653;94118;15.0
654;94148;19.0
655;94152;16.0
656;94155;12.0
657;94163;4.0
658;94249;21.0
659;94315;19.0
660;94330;18.5
661;94336;2.0
662;94344;6.0
663;94354;10.0
664;94360;10.0
665;94365;19.0
666;94371;11.0
667;94377;18.0
668;94419;12.0
669;94424;16.2
670;94428;15.0
671;94436;13.0
672;94447;18.25
673;94469;6.0
674;94474;14.307692307692308
675;94486;3.0
676;94491;3.0
677;94505;15.0
678;94522;7.666666666666667
679;94539;3.0
680;94544;16.0
681;94557;3.0
682;94575;12.0
683;94577;16.0
684;95032;8.0
685;95119;6.0
686;95152;6.0
687;95182;8.0
688;95326;3.0
689;95339;7.0
690;95448;16.0
691;95469;7.0
692;95473;6.0
693;95485;8.0
694;95502;15.0
695;95615;15.0
696;95659;15.0
697;95686;8.0
698;96049;16.0
699;96052;16.0
700;96103;11.666666666666666
701;96106;21.0
702;96117;16.0
703;96120;16.0
704;96132;16.5
705;96135;16.0
706;96142;21.0
707;96148;16.0
708;96151;21.0
709;96152;19.0
710;96157;21.0
711;96163;16.0
712;96164;10.0
713;96166;21.0
714;96172;14.0
715;96173;5.0
716;96175;16.0
717;96178;14.0
718;96181;21.0
719;96184;21.0
720;96190;19.0
721;96215;15.666666666666666
722;96224;16.0
723;96264;18.0
724;96274;19.0
725;97241;20.5
726;97259;17.0
727;97279;20.0
728;97350;21.0
729;97359;18.0
730;97412;18.0
731;97437;16.0
732;97456;18.666666666666668
733;97464;17.0
734;97475;21.0
735;97486;14.0
736;97490;15.0
737;97502;18.25
738;97505;19.0
739;97514;21.0
740;97516;21.0
741;97522;21.0
742;97532;19.75
743;97539;14.0
744;97618;18.7
745;97638;20.0
746;97640;20.0
747;97645;15.0
748;97653;15.0
749;97654;17.5
750;97702;19.333333333333332
751;97708;10.0
752;97714;20.4
753;97720;20.0
754;97762;19.0
755;97782;18.333333333333332
756;97783;18.8
757;97788;8.0
758;97794;14.0
759;97816;13.0
760;97828;15.5
761;97834;19.0
762;97840;9.8
763;97842;15.0
764;97845;10.0
765;97849;14.666666666666666
766;97851;7.0
767;97854;18.0
768;97904;5.0
